Site,Year,Species Richness,Stem Abundance,American Beech basal area,American Elm  basal area,Ash sp. basal area,Basswood  basal area,Bitternut Hickory  basal area,Black Ash  basal area,Black Cherry  basal area,Black Maple  basal area,Blue Beech basal area,Burr Oak  basal area,Butternut  basal area,Eastern Hemlock  basal area,Green Ash  basal area,Ironwood  basal area,Large-toothed Aspen  basal area,Manitoba Maple  basal area,Red Maple basal area,Red Oak  basal area,Sassafras  basal area,Shagbark Hickory  basal area,Silver Maple  basal area,Sugar Maple  basal area,Trembling Aspen  basal area,Unknown  basal area,White Ash  basal area,White Birch  basal area,White Oak  basal area,White Pine  basal area,Yellow Birch basal area,Total Basal Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 1,2006,3,17,,,,0.04227337,,,,,,,,,,,,,,,,0.129415856,,1.051586197,,,,,,,,1.223275423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 10,2006,3,15,,,,,,,,,,,,,,,,,,,,0.182358884,,0.916070925,,,,,0.172757369,,,1.271187179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 2,2006,4,23,,,,,,,,,,,,,,,,,,0.599918365,,0.129956211,,,,,0.0176715,,,,,0.747546076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 3,2006,8,15,,,,,,,0.008992045,,,,,,,0.008992045,,,0.040718278,0.725534456,,0.055990381,,0.040655446,,,0.057630296,,,,,0.938512945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 4,2006,3,21,,,,,,,,,,,,,,,,,,0.350169019,,,,0.553547564,,,,,0.106375361,,,1.010091944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 5,2006,2,13,,,,,,,,,,,,,,,,,,0.226585544,,,,0.698423233,,,,,,,,0.925008777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 6,2006,2,15,,,,,,,,,,,,,,,,,,,,,,1.122373514,,,,,0.296092658,,,1.418466172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 7,2006,2,14,,,,,,,,,,,,,,,,,,0.282744,,,,0.699235337,,,,,,,,0.981979337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 8,2006,5,24,,,,,,,,,,,,,,,,,0.01093591,0.215344899,,0.008824754,,0.555186694,,,,,0.573787322,,,1.364079578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 9,2006,3,16,,,,,,,,,,,,,,0.013892941,,,,,,,,0.671622244,,,,,0.218128357,,,0.903643541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 1,2007,6,18,0.044488198,,,,,,,,,,,0.15486046,,0.028055273,,,0.069370455,,,,,0.775274623,,,,0.071631622,,,,1.14368063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 10,2007,2,8,,,,0.317380925,,,,,,,,,,,,,,,,,,0.718677128,,,,0.718677128,,,,1.754735182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 11,2007,6,18,0.856617716,,,,0.191665874,,,,,,,0.152457136,,0.068349435,,,,,,,,0.054297058,,,0.04011509,0.054297058,,,,1.417799368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 12,2007,3,17,0.484905175,,,,,,,,,,,0.072322774,,,,,,,,,,0.412011415,,,,0.412011415,,,,1.381250779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 13,2007,4,10,0.246528421,,,,0.122844414,,,,,,,0.049480985,,,,,,,,,,0.12148096,,,,0.12148096,,,,0.661815739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 14,2007,7,15,0.055108,,,,,,,,,,0.058535,0.39508,,,,,0.160273,0.264209,,,,0.448019,,,,0.448019,,,,1.829243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 15,2007,2,8,0.86458717,,,,,,,,,,,,,,,,,,,,,0.05725566,,,,0.05725566,,,,0.97909849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 16,2007,2,11,1.199092171,,,,,,,,,,,,,,,,,,,,,0.229174222,,,,,,,,1.428266393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 17,2007,2,6,0.136427122,,,,,,,,,,,0.612830341,,,,,,,,,,0.612830341,,,,,,,,1.362087804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 18,2007,2,12,,,,,,,,0.969891245,,,,0.6457064,,,,,,,,,,0.6457064,,,,,,,,2.261304045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 19,2007,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 2,2007,5,20,0.280335178,,,0.211174425,,,,,,,,0.042832574,,,,,0.073541714,,,,,0.744719422,,,,,,,,1.352603314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 20,2007,8,26,0.262868668,,,0.018869235,,,,0.010386915,,,0.18857454,0.728087791,,0.072583526,,,,,,,,0.728087791,,,,0.078924061,,,,2.088382527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 21,2007,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 22,2007,4,14,1.067791355,,,,,,,,,,,0.19808809,,,,,0.076944853,,,,,0.19808809,,,,0.05641057,,,,1.597322958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 23,2007,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 24,2007,2,11,,,,,,,,0.668649505,,,,0.650462782,,,,,,,,,,0.650462782,,,,,,,,1.969575069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 25,2007,3,19,,,,,,,,0.139867174,,,,1.154983322,,,,,,0.385767274,,,,1.154983322,,,,,,,,2.835601091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 3,2007,5,15,0.16514056,,,0.114009449,,,,,,,,0.054954438,,,,,,0.021124118,,,,1.171938537,,,,1.171938537,,,,2.69910564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 4,2007,6,19,0.200108924,,,0.043743638,,,,0.132670553,,,,0.055571762,,,,,,,,,,0.725404079,,,0.02216713,0.725404079,,,,1.905070167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 5,2007,3,15,1.084122963,,,,,,,,,,,,,,,,,0.332853305,,,,0.214468393,,,,0.214468393,,,,1.845913054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 6,2007,5,19,0.371169044,,,,,,0.154406498,0.4573879,,,,,,,,,0.102921958,,,,,0.230199955,,,,0.230199955,,,,1.54628531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 7,2007,2,11,0.60379667,,,,,,,,,,,,,,,,,,,,,0.465657377,,,,0.465657377,,,,1.535111424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 8,2007,2,13,1.030263373,,,,,,,,,,,,,,,,,,,,,0.183563688,,,,0.183563688,,,,1.397390749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 9,2007,2,13,,,,,,,,,,,,,,,,,,,,,,1.361085634,,,0.369751397,1.361085634,,,,3.091922665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 1,2007,3,17,,,,0.04227337,,,,,,,,,,,,,,,,0.129415856,,1.051586197,,,,,,,,1.223275423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 10,2007,3,15,,,,,,,,,,,,,,,,,,,,0.182358884,,0.916070925,,,,,0.172757369,,,1.271187179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 2,2007,4,23,,,,,,,,,,,,,,,,,,0.599918365,,0.129956211,,0.8084617,,,0.0176715,,,,,1.556007776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 3,2007,8,15,,,,,,,0.008992045,,,,,,,0.008992045,,,0.040718278,0.725534456,,0.055990381,,0.040655446,,,0.057630296,,0.14657449,,,1.085087434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 4,2007,3,21,,,,,,,,,,,,,,,,,,0.350169019,,,,0.553547564,,,,,0.106375361,,,1.010091944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 5,2007,2,13,,,,,,,,,,,,,,,,,,0.226585544,,,,0.698423233,,,,,,,,0.925008777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 6,2007,2,15,,,,,,,,,,,,,,,,,,,,,,1.122373514,,,,,0.296092658,,,1.418466172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 7,2007,2,14,,,,,,,,,,,,,,,,,,0.282744,,,,0.243137849,,,,,,,,0.525881849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 8,2007,5,24,,,,,,,,,,,,,,,,,0.008824754,0.215344899,,0.039057157,,0.555186694,,,,,0.573787322,,,1.392200825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEW 9,2007,3,16,,,,,,,,,,,,,,0.013892941,,,,,,,,0.671622244,,,,,0.218128357,,,0.903643541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEN 1,2008,8,33,0.134396863,,,0.134569651,0.008659035,,0.066225713,,,,,,,0.220513616,0.131263117,,0.139375513,0.073061835,,,,,,,,,,0.263750672,,1.171816015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEN 11,2008,7,17,0.173421818,0.141700297,,,0.036305115,,,,,,,,,,,,,0.11460871,,,,,,,,,,0.085932185,,0.551968124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEN 12,2008,4,24,0.553307231,,,,,,,,,,,,,,,,,,,,,,,,,,,0.220553672,,0.773860903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEN 19,2008,6,15,0.096590063,0.10326125,,,,,,,,,,,,,,,,,,,,,,,0.048225916,,,,,0.248077229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEN 4,2008,6,20,0.220513616,0.03463614,,,,,,,,,,,,,,,0.126820894,,,,,,,,0.06245815,,,0.102608583,,0.547037383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEN 5,2008,9,25,0.141441901,,,,,,,,,,,,,0.011689894,,,0.050324505,0.045996166,,0.09079224,,,,,0.02544696,,,0.298814855,,0.66450652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 1,2008,5,17,,,,,,,,,,,,0.168267238,,0.030171926,,,0.07351344,,,,,0.833713096,,,,0.08346917,,,,1.18913487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 10,2008,2,8,,,,0.355919718,,,,,,,,,,,,,,,,,,0.804490718,,,,0.804490718,,,,1.964901154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 11,2008,6,18,0.966841537,,,,0.206692933,,,,,,,0.156855376,,0.072583526,,,,,,,,0.056888878,,,0.040470877,0.056888878,,,,1.557222005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 12,2008,3,17,0.516112258,,,,,,,,,,,0.077202464,,,,,,,,,,0.433150456,,,,0.433150456,,,,1.459615634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 13,2008,4,10,0.259636747,,,,0.129026297,,,,,,,0.051471974,,,,,,,,,,0.128749051,,,,0.128749051,,,,0.697633121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 14,2008,7,15,0.060099,,,,,,,,,,0.061575,0.433062,,,,,0.172852,0.298025,,,,0.463122,,,,0.463122,,,,1.951857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 15,2008,2,8,0.901440494,,,,,,,,,,,,,,,,,,,,,0.060698854,,,,0.060698854,,,,1.022838201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 16,2008,2,9,1.073235748,,,,,,,,,,,,,,,,,,,,,0.253062949,,,,,,,,1.326298697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT 17,2008,2,5,0.14522046,,,,,,,,,,,0.658191118,,,,,,,,,,0.658191118,,,,,,,,1.461602696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
